,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
484,Relizane,35.73,0.56,8.15,22.5,1.12,12.2,0.43,1.43,"[0.0, 20.0]"
487,Medea,36.247,2.802,8.1,22.5,2.3,15.6,0.23,1.35,"[30.0, 100.0]"
491,Skikda,37.005278,6.904722,7.8,21.5,2.2,15.2,0.25,1.5,"[0.0, 30.0]"
492,Skikda,36.85,6.9,7.4,17.7,2.2,29.4,0.35,1.65,"[0.0, 30.0]"
496,Skikda,37.0453,6.9144,7.5,35.0,2.4,20.0,0.4,1.2,"[0.0, 30.0]"
497,Relizane,35.7333,0.55,8.42,240.0,1.23,15.4,0.14,1.35,"[0.0, 30.0]"
499,Relizane,35.733333,0.533333,8.33,36.8,1.32,12.8,0.48,1.45,"[0.0, 30.0]"
500,Medea,36.2637,2.751,8.2,240.0,2.3,24.0,240.0,1.4,"[0.0, 30.0]"
501,Skikda,36.8667,6.9,5.91,26.75,1.16,23.09,7.25,1.39,30
503,Skikda,37.1353,6.9047,7.8,11.4,2.5,18.2,0.23,1.55,"[0.0, 30.0]"
504,Annaba,36.8333,7.75,8.1,42.3,2.5,15.2,0.35,1.45,"[0.0, 30.0]"
509,Skikda,36.8667,6.9,8.1,221.0,1.8,24.6,0.12,1.3,"[0.0, 30.0]"
511,Tiaret,35.37,1.32,8.23,12.34,2.15,25.6,0.43,1.42,"[0.0, 20.0]"
524,Alger,36.7464,3.0389,7.8,10.2,2.4,20.5,1800.0,1.3,"[0.0, 20.0]"
532,Batna,35.5593,6.1713,7.09,13.0,9.0,10.0,10.0,13.0,"[0.0, 30.0]"
537,Tipaza,36.583333,2.45,7.82,23.49,1.12,26.11,0.43,1.58,"[0.0, 20.0]"
538,Tiaret,35.31,1.47,7.95,32.5,1.35,14.2,0.39,1.4,"[0.0, 20.0]"
539,Tiaret,35.383333,1.316667,8.2,31.5,1.35,14.2,0.35,1.45,"[0.0, 30.0]"
552,Mostaganem,35.9153,0.0922,8.12,23.45,1.25,21.12,1.58,1.42,"[0.0, 20.0]"
555,Tipaza,36.583333,2.45,8.55,24.1,2.21,14.1,1.45,1.45,"[0.0, 30.0]"
556,Tipaza,36.5753,2.4389,8.23,15.6,1.8,12.5,0.45,1.43,"[0.0, 30.0]"
562,Tipaza,36.583333,2.416667,7.5,3.45,0.96,20.1,0.72,1.45,"[100.0, 200.0]"
569,Medea,36.2667,3.0833,7.8,23.5,1.8,15.6,0.32,1.4,"[0.0, 30.0]"
573,Biskra,34.85,5.73,8.23,23.4,1.23,12.5,0.42,1.35,"[0.0, 20.0]"
575,Tlemcen,34.8906,-1.3147,7.12,341.0,2.45,20.6,0.55,1.45,"[0.0, 30.0]"
578,Tlemcen,34.88,-1.31,7.39,23.15,2.45,15.32,0.42,1.45,"[0.0, 30.0]"
584,Guelma,36.4667,7.4333,7.4,14.5,1.4,12.5,0.2,1.6,"[0.0, 20.0]"
587,Annaba,36.9,7.75,7.4,250.0,2.4,24.0,0.24,1.43,"[0.0, 20.0]"
592,Setif,36.19,4.98,7.45,42500.0,10.64,15.5,16.02,18.97,"[20.0, 30.0]"
593,Tlemcen,34.8833,1.3167,7.4,25.8,2.3,14.5,0.45,1.4,"[0.0, 20.0]"
594,Tlemcen,34.8823,-1.3174,8.23,43.6,2.34,24.3,0.43,1.42,"[0.0, 30.0]"
607,Tlemcen,34.88,1.31,7.2,25.0,2.5,25.0,29.0,1.35,"[0.0, 30.0]"
612,Tlemcen,34.88,-1.32,7.8,22.4,2.1,15.2,0.35,1.35,"[0.0, 30.0]"
614,Tiaret,35.3833,2.25,7.85,10.1,1.1,14.5,250.0,1.35,"[0.0, 30.0]"
616,Tlemcen,34.89,-1.31,7.8,23.8,2.1,14.1,0.48,1.4,"[0.0, 20.0]"
619,Tlemcen,34.67,1.97,7.39,43.89,12.7,40.86,30.55,1.7,45.0
621,Bejaea,36.75,5.05,7.5,84.99,2.0,26.8,336.69,1.57,"[0.0, 30.0]"
622,Tlemcen,34.6,1.19,7.4,12.6,1.07,12.2,3.5,1.3,"[10.0, 30.0]"
623,Medea,36.2667,2.75,7.8,34.0,9.0,16.0,2.7,1.5,40.0
627,Tlemcen,34.883333,1.316667,7.7,17.2,1.8,26.5,0.45,1.35,"[0.0, 20.0]"
637,Medea,36.2677,2.75,7.92,34.65,1.25,14.27,0.35,1.55,"[0.0, 30.0]"
639,Tiaret,35.38,1.82,7.4,14.2,1.8,24.5,0.25,1.35,"[0.0, 20.0]"
640,Djelfa,34.6742,3.2556,8.2,25.4,1.8,24.5,1.4,1.35,"[0.0, 20.0]"
652,Medea,35.8801,2.7543,8.3,10.2,1.8,17.1,0.15,1.35,"[0.0, 30.0]"
653,Tiaret,35.3833,1.8667,7.8,24.4,1.4,15.6,0.43,1.4,"[0.0, 20.0]"
656,Tlemcen,34.95,1.4333,8.4,45.0,2.3,30.0,0.55,1.4,"[35.0, 120.0]"
657,Guelma,36.4667,7.4333,8.1,42.5,10.2,25.6,1.25,1.3,"[0.0, 20.0]"
658,Batna,35.55,6.17,8.5,23.0,1.8,20.0,0.45,1.35,"[0.0, 30.0]"
659,Guelma,36.461389,7.433333,8.23,23.1,2.1,14.2,0.23,1.5,"[0.0, 20.0]"
662,Mitidja,36.65,2.93,8.3,45.2,1.9,45.1,0.83,1.45,"[0.0, 30.0]"
675,Bouira,36.383333,4.05,8.97,11.44,2.26,27.0,4.83,4.96,"[0.0, 100.0]"
679,Biskra,34.8464,5.7442,8.2,54.3,1.6,16.5,1.1,1.4,"[0.0, 30.0]"
680,Biskra,34.85,5.75,8.5,35.4,1.4,18.4,2.8,1.4,"[0.0, 30.0]"
686,Biskra,34.85,5.75,8.45,24.5,1.82,25.1,1.35,1.45,"[0.0, 30.0]"
703,Biskra,34.85,5.73,7.0,20.0,1.4,10.0,5.0,1.5,"[0.0, 40.0]"
708,Oum El Bouaghi,35.8667,6.3167,8.21,35.2,1.42,22.1,0.45,1.65,"[0.0, 30.0]"
710,Ghardaia,32.38,3.67,7.0,15.0,2.5,10.0,4.5,1.6,"[0.0, 30.0]"
711,Bordj Bou Arreridj,36.0544,4.7619,7.6,20.6,1.83,14.5,0.55,1.55,"[0.0, 30.0]"
714,Constantine,36.3654,6.6133,8.12,15.3,1.24,24.17,0.53,1.45,"[0.0, 20.0]"
